,Flux,Scale,Estimates,95% CI/PI,SE,Interval Type,N,Type
0,ER,Footprint,4.367187930094485,0.844234092329134,0.4238160491687217,CI,75.2761958761156,Chamber Obs.
1,ER,Basin,4.008448631367956,0.8408701263985635,0.4213061971481412,CI,67.26355058328764,Chamber Obs.
2,NME,Footprint,13.630093180758639,7.968322735506098,4.000197446358153,CI,75.2761958761156,Chamber Obs.
3,NME,Basin,14.96805126922253,8.644675557050649,4.331293585276215,CI,67.26355058328764,Chamber Obs.
