datetime,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Sparse+Out_of_Basin,Model: H,Model: wind_speed,Model: air_pressure,Model: PPFD_Avg,Model: AirTC_Avg,Model: VPD,Model: Temp,Model: VWC,Model: Sedge,Model: Shrub,Model: Grass,Model: Sparse,Model: Out_of_Basin,Model: H+Sedge,Model: wind_speed+Sedge,Model: air_pressure+Sedge,Model: PPFD_Avg+Sedge,Model: AirTC_Avg+Sedge,Model: VPD+Sedge,Model: Temp+Sedge,Model: VWC+Sedge,Model: Sedge+Shrub,Model: Sedge+Grass,Model: Sedge+Sparse,Model: Sedge+Out_of_Basin,Model: H+VWC+Sedge,Model: wind_speed+VWC+Sedge,Model: air_pressure+VWC+Sedge,Model: PPFD_Avg+VWC+Sedge,Model: AirTC_Avg+VWC+Sedge,Model: VPD+VWC+Sedge,Model: Temp+VWC+Sedge,Model: VWC+Sedge+Shrub,Model: VWC+Sedge+Grass,Model: VWC+Sedge+Sparse,Model: VWC+Sedge+Out_of_Basin,Model: H+Temp+VWC+Sedge,Model: wind_speed+Temp+VWC+Sedge,Model: air_pressure+Temp+VWC+Sedge,Model: PPFD_Avg+Temp+VWC+Sedge,Model: AirTC_Avg+Temp+VWC+Sedge,Model: VPD+Temp+VWC+Sedge,Model: Temp+VWC+Sedge+Shrub,Model: Temp+VWC+Sedge+Grass,Model: Temp+VWC+Sedge+Sparse,Model: Temp+VWC+Sedge+Out_of_Basin,Model: H+Temp+VWC+Sedge+Out_of_Basin,Model: wind_speed+Temp+VWC+Sedge+Out_of_Basin,Model: air_pressure+Temp+VWC+Sedge+Out_of_Basin,Model: PPFD_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: VPD+Temp+VWC+Sedge+Out_of_Basin,Model: Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: Temp+VWC+Sedge+Grass+Out_of_Basin,Model: Temp+VWC+Sedge+Sparse+Out_of_Basin,Model: H+wind_speed+Temp+VWC+Sedge+Out_of_Basin,Model: H+air_pressure+Temp+VWC+Sedge+Out_of_Basin,Model: H+PPFD_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+VPD+Temp+VWC+Sedge+Out_of_Basin,Model: H+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+Temp+VWC+Sedge+Grass+Out_of_Basin,Model: H+Temp+VWC+Sedge+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+PPFD_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+VPD+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+Temp+VWC+Sedge+Grass+Out_of_Basin,Model: H+wind_speed+Temp+VWC+Sedge+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+AirTC_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+AirTC_Avg+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+AirTC_Avg+Temp+VWC+Sedge+Grass+Out_of_Basin,Model: H+wind_speed+AirTC_Avg+Temp+VWC+Sedge+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Grass+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Shrub+Grass+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Sparse+Out_of_Basin,BestModel: H+wind_speed+air_pressure+AirTC_Avg+Temp+VWC+Sedge+Shrub+Out_of_Basin
2016-07-10 16:30:00,-5.141732215881348,6.877124786376953,8.5056734085083,6.739328384399414,12.845315933227539,15.071161270141602,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,7.885578632354736,4.966174602508545,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,9.214591026306152,0.6309223771095276,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.694084644317627,4.211334228515625,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,15.312348365783691,8.985901832580566,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.5364857912063599,-0.5940017104148865,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,0.8600631356239319,-2.5294532775878906,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-4.133807182312012,-1.6616772413253784,-0.9875850081443787,-0.32730570435523987,0.06076487898826599,-3.9409074783325195,-7.096548080444336,-3.8266820907592773,-2.114264488220215,-1.1049355268478394,-4.721141815185547,-4.521917343139648,-3.234309196472168,-0.8374671339988708,-4.0781965255737305,-5.838120460510254,-4.795177459716797,-2.0693817138671875,-6.854525566101074,-5.208006858825684,-2.1277084350585938
2016-07-10 17:00:00,-5.176384925842285,6.877124786376953,8.5056734085083,6.739328384399414,12.66632080078125,15.142784118652344,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,7.749129772186279,4.954578876495361,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,9.19604206085205,0.5768275856971741,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.6894378662109375,4.209991931915283,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,15.212627410888672,8.980008125305176,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.5229865312576294,-0.6165313124656677,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,0.9216418862342834,-2.6175765991210938,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-4.243952751159668,-1.7158602476119995,-1.0511082410812378,-0.34552088379859924,0.043986886739730835,-4.016314506530762,-7.082808494567871,-3.893085479736328,-2.159451484680176,-1.1227091550827026,-4.795638084411621,-4.498895645141602,-3.2694320678710938,-0.8882026076316833,-4.179862976074219,-5.803075790405273,-4.858436584472656,-2.131281852722168,-6.889394760131836,-5.261716842651367,-2.17279052734375
2016-07-10 17:30:00,-4.8581695556640625,6.877124786376953,8.5056734085083,6.739328384399414,10.15289306640625,15.080002784729004,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,6.063480854034424,4.964743614196777,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,9.057130813598633,0.6240888237953186,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.862074375152588,4.210784435272217,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,12.929437637329102,8.985072135925293,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.455349087715149,-0.5968226790428162,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,1.805824875831604,-2.5404911041259766,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-4.147531509399414,-1.57683265209198,-0.9954776167869568,-0.32951727509498596,0.058748334646224976,-3.9502296447753906,-5.540190696716309,-3.8350772857666016,-2.11984920501709,-1.107141375541687,-4.730428695678711,-3.674734115600586,-3.2387495040893555,-0.8437699675559998,-4.090608596801758,-4.640257835388184,-4.803034782409668,-2.0771255493164062,-6.169538497924805,-5.214616775512695,-2.133307456970215
2016-07-10 18:00:00,-4.340551376342773,6.877124786376953,8.5056734085083,6.739328384399414,8.860858917236328,14.675495147705078,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,5.514763832092285,5.030191898345947,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,8.571998596191406,0.9434838891029358,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.951503276824951,4.288013458251953,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,11.002552032470703,9.027026176452637,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.4352751970291138,-0.46786871552467346,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,2.061509132385254,-2.039792060852051,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-3.490817070007324,-1.1464203596115112,-0.6176308989524841,-0.2594374716281891,0.14515218138694763,-3.5182266235351562,-4.050230979919434,-3.426664352416992,-1.8773030042648315,-1.0016793012619019,-4.299138069152832,-2.8217077255249023,-3.046487808227539,-0.5728883147239685,-3.530895233154297,-3.8152074813842773,-4.441183090209961,-1.7290199995040894,-5.242313385009766,-4.9130048751831055,-1.8907774686813354
2016-07-10 18:30:00,-4.897505760192871,6.877124786376953,8.5056734085083,6.739328384399414,11.455721855163574,14.781052589416504,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,6.858386039733887,5.013230323791504,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,9.1448974609375,0.8589058518409729,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.695856094360352,4.259021282196045,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,14.4021635055542,9.013141632080078,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.473737359046936,-0.49882975220680237,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,1.3747698068618774,-2.1676130294799805,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-3.6670093536376953,-1.272621989250183,-0.7186869978904724,-0.2791260778903961,0.11976394057273865,-3.629566192626953,-5.997885704040527,-3.53509521484375,-1.9386414289474487,-1.0288313627243042,-4.411848068237305,-3.8723573684692383,-3.0978269577026367,-0.6392630934715271,-3.6759090423583984,-5.023225784301758,-4.534313201904297,-1.8181952238082886,-6.2954816818237305,-4.99289608001709,-1.9522780179977417
2016-07-10 19:00:00,-4.957675933837891,6.877124786376953,8.5056734085083,6.739328384399414,10.81196117401123,15.062909126281738,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,6.455654144287109,4.967511177062988,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,9.108369827270508,0.6373072266578674,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.758939266204834,4.211867809295654,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,13.75995922088623,8.986705780029297,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.4578806161880493,-0.5913209319114685,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,1.6125003099441528,-2.519118309020996,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-4.120996475219727,-1.552388072013855,-0.9802178740501404,-0.3253268301486969,0.06268224120140076,-3.932145118713379,-5.992712020874023,-3.818840980529785,-2.1090526580810547,-1.102878451347351,-4.712451934814453,-3.8762359619140625,-3.2301645278930664,-0.8315829634666443,-4.066610336303711,-4.910575866699219,-4.787836074829102,-2.0619611740112305,-6.396844863891602,-5.201868057250977,-2.1224822998046875
2016-07-10 19:30:00,-4.652046203613281,6.877124786376953,8.5056734085083,6.739328384399414,10.083634376525879,14.703210830688477,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,6.025917053222656,5.02573823928833,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,9.049838066101074,0.9213500618934631,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.870441913604736,4.280155181884766,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,12.83511734008789,9.023282051086426,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.4515076875686646,-0.47590723633766174,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,1.8242212533950806,-2.0737133026123047,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-3.5369482040405273,-1.251545786857605,-0.6447800993919373,-0.2648696005344391,0.1378236711025238,-3.547501564025879,-5.04347038269043,-3.4552040100097656,-1.8928850889205933,-1.0081757307052612,-4.328704833984375,-3.3893795013427734,-3.0600881576538086,-0.5898961424827576,-3.568972587585449,-4.387966156005859,-4.465723991394043,-1.7523859739303589,-5.761334419250488,-4.933854103088379,-1.9064825773239136
2016-07-10 20:00:00,-4.2198028564453125,6.877124786376953,8.5056734085083,6.739328384399414,9.47334098815918,14.196172714233398,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,5.722452640533447,5.108452796936035,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,8.913555145263672,1.3432317972183228,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.946903228759766,4.454262733459473,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,11.958121299743652,9.101139068603516,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.4102665185928345,-0.3091534674167633,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,1.958337426185608,-1.4441288709640503,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-2.6838207244873047,-0.7622613310813904,-0.15228357911109924,-0.15923872590065002,0.24413880705833435,-3.0016040802001953,-3.9578189849853516,-2.9434947967529297,-1.6218308210372925,-0.9060468077659607,-3.7819652557373047,-2.7912979125976562,-2.7779273986816406,-0.2881888449192047,-2.8812389373779297,-3.7916488647460938,-4.001021385192871,-1.3547781705856323,-5.048216819763184,-4.547090530395508,-1.6310700178146362
2016-07-10 20:30:00,-4.031526565551758,6.877124786376953,8.5056734085083,6.739328384399414,8.920145034790039,14.14360523223877,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,5.532319068908691,5.116983413696289,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,8.626909255981445,1.389241337776184,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.954306125640869,4.475622653961182,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,11.096858978271484,9.110347747802734,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.4317528009414673,-0.287748247385025,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,2.0513510704040527,-1.3797138929367065,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-2.5941009521484375,-0.6914729475975037,-0.0996789038181305,-0.1466454565525055,0.25406941771507263,-2.943798065185547,-3.446661949157715,-2.8898725509643555,-1.5971592664718628,-0.8957480788230896,-3.725709915161133,-2.505861282348633,-2.746554374694824,-0.259301096200943,-2.811635971069336,-3.4998903274536133,-3.9514389038085938,-1.3137625455856323,-4.776670455932617,-4.505641937255859,-1.6031140089035034
2016-07-10 21:00:00,-4.070025444030762,6.877124786376953,8.5056734085083,6.739328384399414,8.413054466247559,14.445722579956055,13.739643096923828,6.940505504608154,12.052699089050293,5.268336296081543,10.182918548583984,7.037951469421387,2.5367636680603027,4.302783012390137,5.133336544036865,3.814962863922119,5.088901519775391,5.371621131896973,5.067235946655273,6.264364719390869,3.6180472373962402,5.523900508880615,6.3913798332214355,6.197920322418213,2.310140609741211,3.6141390800476074,0.9472885727882385,7.643154144287109,3.3282480239868164,8.020150184631348,1.133337140083313,1.4611397981643677,5.164709568023682,4.764703750610352,5.064316272735596,2.4094362258911133,9.32992172241211,1.8834806680679321,5.7094855308532715,3.276339054107666,7.822368621826172,4.362360000610352,5.210845947265625,3.768549919128418,4.539771556854248,1.0423637628555298,8.822845458984375,2.26070499420166,9.554330825805664,5.715543270111084,10.259743690490723,9.063154220581055,9.143416404724121,3.1973118782043457,4.937686443328857,-0.952690064907074,3.7467470169067383,3.7716732025146484,1.4692660570144653,-0.39628973603248596,2.303586959838867,-0.7869195342063904,0.6650710701942444,-0.12048521637916565,4.057151794433594,2.145359516143799,-1.7535065412521362,1.2037235498428345,0.7744141221046448,0.9454904198646545,0.5484138131141663,-3.105264663696289,-0.8823546767234802,-0.3932007849216461,-0.21061411499977112,0.19778069853782654,-3.273444175720215,-3.3872814178466797,-3.1904115676879883,-1.752114176750183,-0.9562539458274841,-4.0484724044799805,-2.4569473266601562,-2.9223012924194336,-0.4313916265964508,-3.214923858642578,-3.444490432739258,-4.240021705627441,-1.5441702604293823,-4.861782073974609,-4.739506721496582,-1.7634037733078003
