datetime,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Sparse+Out_of_Basin,Model: H,Model: wind_speed,Model: air_pressure,Model: PPFD_Avg,Model: AirTC_Avg,Model: VPD,Model: Temp,Model: VWC,Model: Sedge,Model: Shrub,Model: Grass,Model: Sparse,Model: Out_of_Basin,Model: H+PPFD_Avg,Model: wind_speed+PPFD_Avg,Model: air_pressure+PPFD_Avg,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+VPD,Model: PPFD_Avg+Temp,Model: PPFD_Avg+VWC,Model: PPFD_Avg+Sedge,Model: PPFD_Avg+Shrub,Model: PPFD_Avg+Grass,Model: PPFD_Avg+Sparse,Model: PPFD_Avg+Out_of_Basin,Model: H+wind_speed+PPFD_Avg,Model: wind_speed+air_pressure+PPFD_Avg,Model: wind_speed+PPFD_Avg+AirTC_Avg,Model: wind_speed+PPFD_Avg+VPD,Model: wind_speed+PPFD_Avg+Temp,Model: wind_speed+PPFD_Avg+VWC,Model: wind_speed+PPFD_Avg+Sedge,Model: wind_speed+PPFD_Avg+Shrub,Model: wind_speed+PPFD_Avg+Grass,Model: wind_speed+PPFD_Avg+Sparse,Model: wind_speed+PPFD_Avg+Out_of_Basin,Model: H+wind_speed+PPFD_Avg+VPD,Model: wind_speed+air_pressure+PPFD_Avg+VPD,Model: wind_speed+PPFD_Avg+AirTC_Avg+VPD,Model: wind_speed+PPFD_Avg+VPD+Temp,Model: wind_speed+PPFD_Avg+VPD+VWC,Model: wind_speed+PPFD_Avg+VPD+Sedge,Model: wind_speed+PPFD_Avg+VPD+Shrub,Model: wind_speed+PPFD_Avg+VPD+Grass,Model: wind_speed+PPFD_Avg+VPD+Sparse,Model: wind_speed+PPFD_Avg+VPD+Out_of_Basin,Model: H+wind_speed+PPFD_Avg+VPD+VWC,Model: wind_speed+air_pressure+PPFD_Avg+VPD+VWC,Model: wind_speed+PPFD_Avg+AirTC_Avg+VPD+VWC,Model: wind_speed+PPFD_Avg+VPD+Temp+VWC,Model: wind_speed+PPFD_Avg+VPD+VWC+Sedge,Model: wind_speed+PPFD_Avg+VPD+VWC+Shrub,Model: wind_speed+PPFD_Avg+VPD+VWC+Grass,Model: wind_speed+PPFD_Avg+VPD+VWC+Sparse,Model: wind_speed+PPFD_Avg+VPD+VWC+Out_of_Basin,Model: H+wind_speed+PPFD_Avg+VPD+VWC+Shrub,Model: wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub,Model: wind_speed+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,Model: wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub,Model: wind_speed+PPFD_Avg+VPD+VWC+Sedge+Shrub,Model: wind_speed+PPFD_Avg+VPD+VWC+Shrub+Grass,Model: wind_speed+PPFD_Avg+VPD+VWC+Shrub+Sparse,Model: wind_speed+PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub,Model: H+wind_speed+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,Model: H+wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub,Model: H+wind_speed+PPFD_Avg+VPD+VWC+Sedge+Shrub,Model: H+wind_speed+PPFD_Avg+VPD+VWC+Shrub+Grass,Model: H+wind_speed+PPFD_Avg+VPD+VWC+Shrub+Sparse,Model: H+wind_speed+PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub,Model: H+wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub,Model: H+wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub,Model: H+wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass,Model: H+wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Sparse,Model: H+wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Sparse,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,Model: H+wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,BestModel: H+wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin
2016-07-10 16:30:00,-5.383453369140625,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-6.884500980377197,-5.872918605804443,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-6.191360950469971,-7.238358974456787,-6.477492332458496,-7.534862518310547,-7.471309661865234,-6.78488302230835,-7.439396858215332,-6.643955230712891,-7.193112373352051,-6.68418025970459,-7.0214385986328125,-6.2177886962890625,-7.081238746643066,-6.938786029815674,-7.989316463470459,-8.208063125610352,-7.082430362701416,-7.659291744232178,-6.643601417541504,-8.115180015563965,-6.8066630363464355,-7.336656093597412,-6.196266174316406,-6.739864826202393,-7.172644138336182,-8.613101959228516,-8.289224624633789,-8.554731369018555,-7.3153533935546875,-8.55759334564209,-7.807025909423828,-7.753576755523682,-7.037996292114258,-8.808442115783691,-8.447184562683105,-8.792854309082031,-8.174905776977539,-7.2124762535095215,-9.147143363952637,-7.5619215965271,-6.367833614349365,-6.372704029083252,-8.67561149597168,-9.015998840332031,-9.155656814575195,-8.924131393432617,-7.908797264099121,-7.940256595611572,-7.029149055480957,-7.203114032745361,-7.824479579925537,-8.506007194519043,-8.449158668518066,-6.901838302612305,-7.182461738586426,-6.549972057342529,-5.980144023895264,-8.097346305847168,-8.037919998168945,-6.9830403327941895,-7.1219096183776855,-6.716731071472168,-5.92984676361084,-7.895015239715576,-6.745832443237305,-7.200700283050537,-6.4716949462890625,-5.8427348136901855,-6.196117401123047,-5.8923773765563965,-6.105790138244629,-6.0263895988464355,-6.364482879638672,-5.875966548919678,-5.530296325683594,-6.017117977142334,-5.3745503425598145,-5.806704044342041
2016-07-10 17:00:00,-5.3121137619018555,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-6.766019821166992,-5.935719966888428,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-6.078868865966797,-7.117395877838135,-6.357552528381348,-7.428579807281494,-7.319552421569824,-6.6715407371521,-7.3234028816223145,-6.528861045837402,-7.066865921020508,-6.57232141494751,-6.960381507873535,-6.106321811676025,-6.963831424713135,-6.817566871643066,-7.8829731941223145,-8.055085182189941,-6.962611675262451,-7.536151885986328,-6.529390335083008,-8.003630638122559,-6.693843364715576,-7.2571024894714355,-6.090444087982178,-6.605339527130127,-7.016340255737305,-8.503294944763184,-8.163329124450684,-8.431415557861328,-7.212937831878662,-8.403908729553223,-7.686887264251709,-7.647504806518555,-6.938848495483398,-8.678032875061035,-8.311737060546875,-8.708662986755371,-8.079780578613281,-7.129262447357178,-9.029069900512695,-7.473396301269531,-6.297169208526611,-6.291897773742676,-8.56136417388916,-8.883137702941895,-9.053979873657227,-8.817575454711914,-7.813913345336914,-7.850235939025879,-6.9391632080078125,-7.118179798126221,-7.7355265617370605,-8.425981521606445,-8.350624084472656,-6.8243584632873535,-7.095233917236328,-6.454650402069092,-5.906056880950928,-8.018168449401855,-7.988877296447754,-6.908756732940674,-7.041975021362305,-6.630609035491943,-5.866482734680176,-7.847894191741943,-6.6847734451293945,-7.133805751800537,-6.40219783782959,-5.779476642608643,-6.138360977172852,-5.838607311248779,-6.044452667236328,-5.961590766906738,-6.3110671043396,-5.8202080726623535,-5.4682297706604,-5.952178955078125,-5.306004524230957,-5.7457356452941895
2016-07-10 17:30:00,-4.216305255889893,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-5.076274394989014,-5.88067102432251,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-4.460393905639648,-5.419827461242676,-4.63897180557251,-5.227281093597412,-4.736207008361816,-4.983410835266113,-5.374116897583008,-4.9056396484375,-5.14361572265625,-4.974411964416504,-5.6978936195373535,-4.631632328033447,-5.2340989112854,-5.154881477355957,-5.811601161956787,-5.487912654876709,-5.299709796905518,-5.502984523773193,-5.001795768737793,-6.269687175750732,-5.190985679626465,-5.924524307250977,-4.785755157470703,-4.597387313842773,-4.653919696807861,-6.215885162353516,-5.729931354522705,-6.316909313201904,-5.4146342277526855,-5.9365620613098145,-5.574804306030273,-5.777230739593506,-5.201255798339844,-6.518721103668213,-6.177262783050537,-6.754948616027832,-6.351320266723633,-5.509521484375,-6.9992594718933105,-5.7421183586120605,-4.886499881744385,-4.869958400726318,-6.624202728271484,-6.7743916511535645,-7.076758861541748,-6.9090728759765625,-6.167843818664551,-6.178293704986572,-5.470228672027588,-5.674779891967773,-6.174144268035889,-6.553450107574463,-6.6334638595581055,-5.482675075531006,-5.592689037322998,-4.869473457336426,-4.748688697814941,-6.674905776977539,-6.5892229080200195,-5.704853534698486,-5.660073280334473,-5.053805828094482,-4.803014755249023,-6.591671943664551,-5.665121078491211,-6.015527725219727,-5.12160062789917,-4.753397464752197,-5.075131893157959,-4.935682773590088,-5.101480960845947,-4.884016036987305,-5.259088516235352,-4.850192070007324,-4.406368255615234,-4.865258693695068,-4.169836521148682,-4.735921859741211
2016-07-10 18:00:00,-3.559954881668091,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-4.151820182800293,-5.525895118713379,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-3.5659525394439697,-4.533407211303711,-3.885892391204834,-3.836618661880493,-3.5590057373046875,-3.8777759075164795,-3.745702028274536,-4.0559983253479,-4.009076118469238,-4.043288707733154,-4.664958477020264,-4.046981334686279,-4.229584693908691,-4.380809783935547,-4.3561530113220215,-4.091866493225098,-4.251607894897461,-4.054880142211914,-4.365816593170166,-5.189005374908447,-4.449343681335449,-4.838884353637695,-4.191976070404053,-3.5890495777130127,-3.4313666820526123,-4.792590618133545,-4.360404968261719,-4.945888519287109,-4.207113742828369,-4.464035987854004,-4.301022052764893,-4.453210353851318,-4.0461835861206055,-5.088665962219238,-4.826401233673096,-5.315489768981934,-5.217021465301514,-4.348825454711914,-5.607634544372559,-4.650463581085205,-3.8078296184539795,-3.836425304412842,-5.314413070678711,-5.476630210876465,-5.704753875732422,-5.61421537399292,-4.994677543640137,-5.0672173500061035,-4.462263107299805,-4.694851875305176,-5.074605941772461,-5.189040184020996,-5.461452007293701,-4.568761348724365,-4.635044097900391,-3.80857253074646,-3.9742531776428223,-5.6393351554870605,-5.4277143478393555,-4.819485664367676,-4.730327606201172,-3.9900014400482178,-4.06283712387085,-5.547909259796143,-4.953609466552734,-5.187194347381592,-4.195444107055664,-4.1190056800842285,-4.335292816162109,-4.34145450592041,-4.491763114929199,-4.12169075012207,-4.478109836578369,-4.162186622619629,-3.671323299407959,-4.194910049438477,-3.4149224758148193,-4.110379219055176
2016-07-10 18:30:00,-4.809334754943848,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-5.963156223297119,-5.61860990524292,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-5.312635898590088,-6.299371719360352,-5.534651756286621,-6.556176662445068,-6.137943267822266,-5.890178680419922,-6.455160140991211,-5.747627258300781,-6.170753479003906,-5.8091583251953125,-6.454624176025391,-5.3799848556518555,-6.149479866027832,-5.998862266540527,-6.979983806610107,-6.873717308044434,-6.1584343910217285,-6.639760494232178,-5.754441261291504,-7.212466239929199,-5.944692611694336,-6.693322658538818,-5.419338703155518,-5.630880832672119,-5.896273612976074,-7.319245338439941,-7.082577228546143,-7.522793292999268,-6.476983547210693,-7.288753986358643,-6.767661094665527,-6.823688983917236,-6.177396297454834,-7.716507434844971,-7.3387346267700195,-7.714298725128174,-7.323731422424316,-6.477084159851074,-8.16050910949707,-6.736710548400879,-5.738649368286133,-5.700097560882568,-7.696946620941162,-7.924871921539307,-8.118474960327148,-7.987486362457275,-7.140016078948975,-7.157383441925049,-6.268579006195068,-6.4596266746521,-7.06852912902832,-7.535959720611572,-7.602849960327148,-6.241894245147705,-6.427405834197998,-5.763734817504883,-5.390483379364014,-7.461925029754639,-7.271490097045898,-6.390700817108154,-6.44160270690918,-5.963266372680664,-5.394490718841553,-7.167930603027344,-6.233104228973389,-6.651242256164551,-5.850287437438965,-5.305424213409424,-5.6156721115112305,-5.436176776885986,-5.632086277008057,-5.492688179016113,-5.8101420402526855,-5.4109272956848145,-5.013015270233154,-5.420431613922119,-4.814197540283203,-5.2817206382751465
2016-07-10 19:00:00,-4.5257086753845215,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-5.5302534103393555,-5.865682125091553,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-4.896195411682129,-5.865016460418701,-5.091541290283203,-5.960376739501953,-5.432530879974365,-5.459573268890381,-5.96958589553833,-5.3321213722229,-5.671726226806641,-5.393259048461914,-6.104316711425781,-5.000913619995117,-5.697689056396484,-5.577238082885742,-6.4749932289123535,-6.1985907554626465,-5.741124629974365,-6.127958297729492,-5.370262145996094,-6.753157615661621,-5.564067363739014,-6.345338344573975,-5.097884654998779,-5.120110511779785,-5.282410144805908,-6.831748008728027,-6.421865940093994,-6.941658020019531,-5.991267681121826,-6.63421106338501,-6.197240829467773,-6.333212852478027,-5.711943626403809,-7.149467468261719,-6.791619300842285,-7.303487300872803,-6.861997604370117,-6.031827449798584,-7.6198577880859375,-6.251786708831787,-5.351540565490723,-5.31442928314209,-7.191895008087158,-7.371556282043457,-7.6695027351379395,-7.492013454437256,-6.689455032348633,-6.710200786590576,-5.876372337341309,-6.086048603057861,-6.649170398712158,-7.118033409118652,-7.149906158447266,-5.891254425048828,-6.035908222198486,-5.348979473114014,-5.088634490966797,-7.10335111618042,-7.016866207122803,-6.070346355438232,-6.083255767822266,-5.5221452713012695,-5.111785888671875,-6.950079917907715,-5.96003532409668,-6.3516035079956055,-5.508301734924316,-5.040525913238525,-5.388556480407715,-5.206597805023193,-5.378422260284424,-5.216737747192383,-5.569361209869385,-5.153617858886719,-4.72379207611084,-5.1672821044921875,-4.51304292678833,-5.01898193359375
2016-07-10 19:30:00,-4.194595813751221,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-5.027902126312256,-5.550347805023193,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-4.41427755355835,-5.372231483459473,-4.593478679656982,-5.185699462890625,-4.67274808883667,-4.932051658630371,-5.300480365753174,-4.860294342041016,-5.084996700286865,-4.929553508758545,-5.651112079620361,-4.5965189933776855,-5.185036659240723,-5.111773490905762,-5.756314754486084,-5.413400650024414,-5.2506585121154785,-5.4328227043151855,-4.966022968292236,-6.218843936920166,-5.1534905433654785,-5.877404689788818,-4.754568576812744,-4.543113708496094,-4.58738374710083,-5.979587078094482,-5.65838098526001,-6.248410701751709,-5.352419853210449,-5.859053611755371,-5.507134914398193,-5.716298580169678,-5.144259929656982,-6.450281143188477,-6.1097307205200195,-6.557472229003906,-6.294771671295166,-5.4527788162231445,-6.931891918182373,-5.687178611755371,-4.8345046043396,-4.819945812225342,-6.561079025268555,-6.709263324737549,-6.944462776184082,-6.844229698181152,-6.1118035316467285,-6.118709087371826,-5.425836086273193,-5.629673480987549,-6.120166778564453,-6.413044452667236,-6.57592248916626,-5.437809944152832,-5.545331001281738,-4.816359996795654,-4.70937442779541,-6.626399517059326,-6.419837951660156,-5.661886692047119,-5.613043785095215,-5.002654552459717,-4.7681803703308105,-6.407946586608887,-5.6313395500183105,-5.977489471435547,-5.077808856964111,-4.72173547744751,-4.985870361328125,-4.906744956970215,-5.071666717529297,-4.8460373878479,-5.189958572387695,-4.81549072265625,-4.370240211486816,-4.806604862213135,-4.139366149902344,-4.70448112487793
2016-07-10 20:00:00,-3.901012659072876,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-4.595152854919434,-5.099214553833008,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-3.997633457183838,-4.9502153396606445,-4.22109317779541,-4.555538654327393,-4.122434616088867,-4.432706356048584,-4.5308356285095215,-4.465658187866211,-4.5510993003845215,-4.505180835723877,-5.184678077697754,-4.301521301269531,-4.7265424728393555,-4.742417335510254,-5.112372398376465,-4.748918056488037,-4.790006637573242,-4.7798027992248535,-4.662749767303467,-5.753396511077881,-4.80990743637085,-5.4044036865234375,-4.492135047912598,-4.065617561340332,-4.01297664642334,-5.17900276184082,-5.017494201660156,-5.624917984008789,-4.797434329986572,-5.167052268981934,-4.904592514038086,-5.143553256988525,-4.612349987030029,-5.808521747589111,-5.492738246917725,-5.773001194000244,-5.77528190612793,-4.932617664337158,-6.335448741912842,-5.188165664672852,-4.348668575286865,-4.357041358947754,-5.974853992462158,-6.118037223815918,-6.277270317077637,-6.243631362915039,-5.586195945739746,-5.597241401672363,-4.991373062133789,-5.184311389923096,-5.610809326171875,-5.739221096038818,-6.048052787780762,-5.020195960998535,-5.108082294464111,-4.3282151222229,-4.351116180419922,-6.160435676574707,-5.817210674285889,-5.2631659507751465,-5.1914238929748535,-4.513929843902588,-4.431652069091797,-5.819647312164307,-5.312743186950684,-5.612857818603516,-4.657533168792725,-4.431072235107422,-4.603346347808838,-4.637753963470459,-4.795583248138428,-4.490879058837891,-4.814199447631836,-4.495372772216797,-4.0310893058776855,-4.484033584594727,-3.807182550430298,-4.4168548583984375
2016-07-10 20:30:00,-3.610729455947876,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-4.194652080535889,-5.051957130432129,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-3.607985258102417,-4.574522495269775,-3.9174647331237793,-3.94347882270813,-3.6131293773651123,-3.9323108196258545,-3.8172218799591064,-4.095538139343262,-4.059108734130859,-4.088932991027832,-4.718646049499512,-4.070433139801025,-4.2802324295043945,-4.415410995483398,-4.469602108001709,-4.155546188354492,-4.307168960571289,-4.126705646514893,-4.3943023681640625,-5.246333599090576,-4.485379695892334,-4.897998809814453,-4.223160266876221,-3.6353495121002197,-3.487485885620117,-4.627897262573242,-4.4248366355896,-5.015045642852783,-4.265533924102783,-4.533158779144287,-4.358837604522705,-4.523066520690918,-4.102055549621582,-5.161413192749023,-4.892213344573975,-5.187950134277344,-5.272854328155518,-4.408385276794434,-5.683105945587158,-4.704104900360107,-3.8619556427001953,-3.8890318870544434,-5.381916522979736,-5.540180206298828,-5.691406726837158,-5.675571918487549,-5.055562973022461,-5.119480133056641,-4.518444061279297,-4.743535041809082,-5.12709379196167,-5.164809703826904,-5.521296501159668,-4.6159210205078125,-4.6820783615112305,-3.861266851425171,-4.012820243835449,-5.690331935882568,-5.343172073364258,-4.865335941314697,-4.775615215301514,-4.040321350097656,-4.098550319671631,-5.410174369812012,-4.989686489105225,-5.2298994064331055,-4.2412214279174805,-4.151453971862793,-4.289681911468506,-4.37022066116333,-4.522255897521973,-4.157752990722656,-4.4736433029174805,-4.194101333618164,-3.70711350440979,-4.202091693878174,-3.468864917755127,-4.1433939933776855
2016-07-10 21:00:00,-3.334549903869629,0.6367772817611694,-2.0464837551116943,-1.3007994890213013,-3.8291430473327637,-5.322054862976074,-4.721545696258545,-0.7345104217529297,-1.7659093141555786,-1.59774649143219,-1.6067209243774414,-1.575981616973877,-0.4746757745742798,-2.022519826889038,-3.2299396991729736,-4.219846248626709,-3.6593756675720215,-3.3557496070861816,-3.1453630924224854,-3.4498138427734375,-3.2202107906341553,-3.7549986839294434,-3.643463611602783,-3.6791470050811768,-4.23085880279541,-3.8467490673065186,-3.834458827972412,-4.096809387207031,-3.8417041301727295,-3.6165642738342285,-3.819180965423584,-3.5250258445739746,-4.129598140716553,-4.742380142211914,-4.126214504241943,-4.370041847229004,-3.9475481510162354,-3.2386229038238525,-3.0096654891967773,-4.240460395812988,-3.883080244064331,-4.39299201965332,-3.7683019638061523,-3.931227207183838,-3.865384817123413,-3.90018367767334,-3.613452672958374,-4.530898094177246,-4.328482627868652,-4.720358848571777,-4.78831148147583,-3.878861665725708,-5.030077934265137,-4.226475238800049,-3.3906219005584717,-3.4302031993865967,-4.8096842765808105,-4.982996940612793,-5.152547836303711,-5.137394428253174,-4.5320000648498535,-4.635026931762695,-4.017725944519043,-4.302187442779541,-4.6639814376831055,-4.656344413757324,-5.007508277893066,-4.194965839385986,-4.271424293518066,-3.410743236541748,-3.658447027206421,-5.245937347412109,-4.982457160949707,-4.474400520324707,-4.388622760772705,-3.6075246334075928,-3.781510829925537,-5.12539005279541,-4.679718494415283,-4.86152458190918,-3.855573892593384,-3.861147880554199,-4.037228107452393,-4.120205402374268,-4.245275497436523,-3.8496532440185547,-4.174180507659912,-3.9154231548309326,-3.394087076187134,-3.940171480178833,-3.1460413932800293,-3.851470708847046
